timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1632246931811,147,POST /authenticate,200,,Authentication Token  1-1,text,true,,613,251,1,1,http://localhost:8080/token,143,0,93
1632246932594,527,POST /task,201,,Manage Tasks Group 2-1,text,true,,729,616,11,11,http://localhost:8080/api/v1/tasks,504,0,1
1632246932645,2112,POST /task,201,,Manage Tasks Group 2-2,text,true,,729,616,20,40,http://localhost:8080/api/v1/tasks,2111,0,2
1632246934079,1169,GET /tasks,200,,Find Tasks Group 3-10,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,772,0,1
1632246934120,1619,GET /tasks,200,,Find Tasks Group 3-11,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,737,0,1
1632246933870,2164,GET /tasks,200,,Find Tasks Group 3-6,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1868,0,1
1632246933733,2403,GET /tasks,200,,Find Tasks Group 3-3,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1127,0,1
1632246933971,2216,GET /tasks,200,,Find Tasks Group 3-8,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,890,0,1
1632246933921,2595,GET /tasks,200,,Find Tasks Group 3-7,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,946,0,0
1632246933771,2788,GET /tasks,200,,Find Tasks Group 3-4,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1105,0,3
1632246934021,2623,GET /tasks,200,,Find Tasks Group 3-9,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,864,0,2
1632246933821,2867,GET /tasks,200,,Find Tasks Group 3-5,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1417,0,0
1632246933686,3007,GET /tasks,200,,Find Tasks Group 3-2,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1555,0,3
1632246933620,3098,GET /tasks,200,,Find Tasks Group 3-1,text,true,,1445,346,20,40,http://localhost:8080/api/v1/tasks,1624,0,1
